fiscal_year,revenue,operating_income,net_income,total_assets,total_liabilities,total_equity
2007,,5942855000000.0,,,,
2008,,4134070000000.0,,,,
2009,,6348528000000.0,,,,
2011,165001771000000.0,16249717000000.0,13734067000000.0,117457591000000.0,28555098000000.0,88902493000000.0
2012,201103613000000.0,29049338000000.0,23845285000000.0,181071570000000.0,59591364000000.0,897514000000.0
2013,158372089000000.0,21807005000000.0,17929520000000.0,154825957000000.0,32455190000000.0,-4960059000000.0
2014,137825547000000.0,13924994000000.0,14591781000000.0,164060583000000.0,31383508000000.0,-12729387000000.0
2015,200653482000000.0,26413442000000.0,19060144000000.0,242179521000000.0,63119716000000.0,6183038000000.0
2016,133947204000000.0,13647436000000.0,11579749000000.0,174802959000000.0,37256197000000.0,137546762000000.0
2017,239575376000000.0,53645038000000.0,42186747000000.0,301752090000000.0,87260662000000.0,897514000000.0
2018,243771415000000.0,58886669000000.0,44344857000000.0,339357244000000.0,91604067000000.0,247753177000000.0
2019,230400881000000.0,27768509000000.0,21738865000000.0,352564497000000.0,89684076000000.0,262880421000000.0
2020,236806988000000.0,35993876000000.0,26407832000000.0,378235718000000.0,102287702000000.0,275948016000000.0
2021,279604799000000.0,51633856000000.0,39907450000000.0,426621158000000.0,121721227000000.0,304899931000000.0
2022,302231360000000.0,43376630000000.0,55654077000000.0,448424507000000.0,93674903000000.0,354749604000000.0
2023,,,,,,
2024,,,,,,
2025,,,,,,
